path,scope,issue_type,matches,impact,severity,notes
src/core/ai/fastTrack.ts,active-source,mojibake-literal-and-regex,11,product-behavior,high,"Regex like naci[oÃ³]/muri[oÃ³] degrade accented input matching; strings also display corrupted accents."
src/core/ai/review.ts,active-source,mojibake-user-facing-strings,5,user-visible-text,medium,"Review titles and descriptions contain corrupted accent sequences."
src/core/ai/safety.ts,active-source,mojibake-user-facing-strings,1,user-visible-text,low,"Single corrupted string in manual-selection warning."
src/core/diagnostics/analyzer.ts,active-source,mojibake-user-facing-strings,58,user-visible-text,medium,"Diagnostic messages shown to users/reports contain widespread corrupted accents."
tools/notes/cli.mjs,active-tooling,intentional-mojibake-repair-table,41,tooling-safe,low,"Contains explicit repair table and detector for corrupted text; not classified as source corruption."
todos/002-complete-p1-refactor-app-tsx.md,historical-todo,historical-mojibake,6,historical-noise,low,"Backlog history; not active product code."
todos/005-complete-p2-project-root-cleanup.md,historical-todo,historical-mojibake,4,historical-noise,low,"Backlog history; not active product code."
todos/030-complete-p2-validation-checklist-hardening.md,historical-todo,historical-mojibake,6,historical-noise,low,"Backlog history; not active product code."
todos/056-complete-p2-clean-residual-linters.md,historical-todo,historical-mojibake,16,historical-noise,low,"Backlog history; not active product code."
todos/057-complete-p1-shell-foundation-tokens-primitives.md,historical-todo,historical-mojibake,23,historical-noise,low,"Backlog history; not active product code."
todos/058-complete-p1-create-app-footer-component.md,historical-todo,historical-mojibake,26,historical-noise,low,"Backlog history; not active product code."
todos/059-complete-p1-app-footer-css.md,historical-todo,historical-mojibake,15,historical-noise,low,"Backlog history; not active product code."
todos/060-complete-p1-integrate-footer-appshell.md,historical-todo,historical-mojibake,7,historical-noise,low,"Backlog history; not active product code."
todos/061-complete-p1-left-panel-redesign.md,historical-todo,historical-mojibake,31,historical-noise,low,"Backlog history; not active product code."
todos/062-complete-p1-right-panel-redesign.md,historical-todo,historical-mojibake,20,historical-noise,low,"Backlog history; not active product code."
todos/063-complete-p2-shell-css-cleanup-verification.md,historical-todo,historical-mojibake,29,historical-noise,low,"Backlog history; not active product code."
todos/064-complete-p1-topbar-redesign.md,historical-todo,historical-mojibake,7,historical-noise,low,"Backlog history; not active product code."
todos/070-complete-p1-dtree-v3-phase4-kinship-heatmap-priority.md,historical-todo,historical-mojibake,2,historical-noise,low,"Backlog history; not active product code."
notes/entries/N0001-idea-integracion-con-apis-genealogicas-familysearchwikitree.md,historical-notes,historical-mojibake,38,historical-noise,low,"Project notes; not product runtime."
notes/entries/N0002-idea-versionado-real-tipo-git-para-genealogia.md,historical-notes,historical-mojibake,24,historical-noise,low,"Project notes; not product runtime."
notes/entries/N0003-idea-provenance-estricta-y-evidence-reasoning.md,historical-notes,historical-mojibake,25,historical-noise,low,"Project notes; not product runtime."
notes/entries/N0004-idea-agente-de-investigacion-autonomo.md,historical-notes,historical-mojibake,24,historical-noise,low,"Project notes; not product runtime."
notes/entries/N0005-idea-capsulas-de-tiempo-legado-digital.md,historical-notes,historical-mojibake,23,historical-noise,low,"Project notes; not product runtime."
notes/entries/N0006-idea-gamificacion-y-arbol-cooperativo.md,historical-notes,historical-mojibake,25,historical-noise,low,"Project notes; not product runtime."
notes/entries/N0010-idea-re-evaluacion-nomenclatura-visual-engine-otros.md,historical-notes,historical-mojibake,24,historical-noise,low,"Project notes; user-created/externally introduced; not touched."
notes/entries/N0011-idea-analisis-ecosistema-gsk-interconexiones.md,historical-notes,historical-mojibake,13,historical-noise,low,"Project notes; user-created/externally introduced; not touched."
notes/index/migrations/registry-snapshot-pre-v2-2026-03-05T01-56-04-805Z.json,historical-notes-index,historical-mojibake,8,historical-noise,low,"Derived notes metadata."
notes/index/registry.json,historical-notes-index,historical-mojibake,8,historical-noise,low,"Derived notes metadata."
notes/reports/deep-analysis-2026-03-05T06-18-36-757Z.md,historical-notes-report,historical-mojibake,1,historical-noise,low,"Generated report."
notes/reports/dependency-graph-v1.svg,historical-notes-report,historical-mojibake,9,historical-noise,low,"Generated artifact."
